distance,id,fullName,degree
2.5460786902561394,8467700,Eric Healey,17
2.06152627409559,8470724,Kyle Quincey,249
2.319778188539741,8470088,Matt Jones,67
2.0786902561394243,8470755,Brad Richardson,216
2.2381832585159755,8470657,Jimmy Howard,101
2.5252178505413254,8466230,Ryan Ready,27
2.378663850013203,8468745,Jean-Philippe Cote,50
2.0517560073937156,8470280,Ben Eager,216
2.1278056509110113,8470620,Jeff Tambellini,151
2.158700818589913,8470603,Andrei Kostitsyn,119
2.2809611829944547,8470882,Geoff Platt,64
2.109585423818326,8468636,Greg Zanon,175
2.5788222867705306,8469750,Robert McVicar,18
2.1161869553736468,8468114,Douglas Murray,162
2.1132822814893055,8469501,Chris Thorburn,209
2.364140480591497,8470772,Chris Holt,38
2.106152627409559,8470630,Kevin Klein,167
2.0924214417744915,8470774,Bruno Gervais,182
2.229733298125165,8469812,Chad LaRose,107
2.532875627145498,8471915,Vitaly Kolesnik,20
2.2511222603644043,8469844,Josh Gratton,92
2.1476102455769737,8471469,Pekka Rinne,148
2.148930551888038,8470047,Valtteri Filppula,174
2.3704779508846054,8469479,Jason Bacashihua,48
2.5476630578294164,8470055,Petr Kanko,24
2.5138632162661736,8469994,Rob Collins,30
2.1476102455769737,8470065,Ryan Craig,146
2.3810404013731183,8470076,Darren Reid,53
2.0771058885661473,8470611,Eric Fehr,232
2.074201214681806,8469598,Kevin Bieksa,217
2.2616847108529177,8471628,Rick Rypien,72
2.1328228148930553,8470230,Daniel Paille,155
2.3717982571956693,8470305,Rob Globke,45
2.110641668867177,8469474,Colby Armstrong,172
2.4254026934248745,8470346,Richie Regehr,34
2.1243728545022447,8470121,Matt Greene,140
2.100079218378664,8469483,David Steckel,173
2.5537364668603115,8471524,Matt Ryan,25
2.069712173224188,8470358,Alexandre Burrows,233
2.5624504885133352,8469807,Jonathan Ferland,21
2.1024557697385795,8470642,Shea Weber,191
2.5473989965672037,8469653,Jordan Sigalet,17
2.256403485608661,8469509,Nathan Paetsch,73
2.3208344335885926,8470295,Connor James,53
2.2020068655928173,8471372,Ben Walter,93
2.17797729073145,8469475,Jiri Novotny,105
2.597306575125429,8467954,Adam Hauser,18
2.334037496699234,8469564,Richard Petiot,61
2.3794560337998414,8468584,Jon Disalvatore,43
2.5854238183258516,8470248,Petr Taticek,17
2.133350937417481,8470645,Corey Crawford,143
2.0520200686559282,8470678,Alexandre Picard,205
2.1169791391602852,8469779,Keith Aucoin,140
2.5872722471613416,8470075,Jason Ryznar,21
2.114074465275944,8469531,Jay Harrison,166
2.597570636387642,8470784,Doug O'Brien,21
2.1861631898600473,8466300,Ben Guite,96
2.0953261156588328,8470966,Mark Giordano,182
2.355426458938474,8470330,Mike Glumac,47
2.543702138896224,8469132,David Gove,22
2.0021124900977028,8470222,James Wisniewski,280
2.1787694745180883,8470661,Jean-Francois Jacques,113
2.2759440190124107,8467939,Dan Jancevski,62
2.2830736730921575,8469689,Tomas Mojzis,66
2.185106944811196,8467931,Matt Carkner,120
2.521785054132559,8468800,Louis Robitaille,27
2.625561130182202,8470850,Joey Tenute,17
2.3364140480591495,8470674,Stefan Ruzicka,65
2.121732241880116,8470152,Joakim Lindstrom,162
2.635859519408503,8471200,Prestin Ryan,17
2.172696065487193,8470804,Mathieu Roy,105
2.107736994982836,8468518,Tomas Kopecky,163
2.100079218378664,8470834,Dustin Byfuglien,190
2.1671507789807234,8470223,Yan Stastny,103
2.3205703723263795,8468868,Ben Ondrus,55
2.1164510166358594,8470614,Mark Stuart,176
2.153683654607869,8469516,Brendan Bell,108
2.1705835753894904,8469505,Noah Welch,113
2.3556905202006866,8468544,Filip Novak,48
2.144705571692633,8468086,Alexandre Giroux,112
2.073144969632955,8470640,Matt Carle,221
2.080802746237127,8470273,Ian White,194
2.4713493530499075,8470637,Konstantin Pushkarev,31
2.156852389754423,8472361,Bill Thomas,124
2.1452336942170582,8470615,Marc-Antoine Pouliot,123
2.4734618431476103,8470336,Carsen Germyn,26
2.238975442302614,8471360,Steve Regier,77
2.215473989965672,8470216,Josh Harding,117
2.386321626617375,8470282,Jarkko Immonen,33
2.1494586744124637,8470680,Ryan Potulny,141
2.2933720623184577,8468650,Erik Reitz,65
2.15658832849221,8469584,Joel Perrault,120
2.2983892263005017,8470656,David Liffiton,49
2.4980195405334036,8469668,David Printz,32
2.6551359915500394,8468634,Matt Koalska,20
2.4618431476102454,8468682,Ryan Caldwell,37
2.6614734618431477,8470659,Masi Marjamaki,18
2.6614734618431477,8469588,Cole Jarrett,18
2.2677581198838133,8470809,Jeremy Williams,69
2.6078690256139425,8470150,Jonas Johansson,18
2.0765777660417215,8470626,Loui Eriksson,200
2.102719831000792,8471669,Paul Stastny,200
2.0908370742012146,8470741,Nigel Dawes,144
2.080274623712701,8471724,Kris Letang,179
2.095590176921046,8473533,Jordan Staal,197
2.518616318986005,8472418,Patrick Fischer,30
2.148402429363612,8471222,Ladislav Smid,166
2.286770530763137,8470375,Patrick Thoresen,69
2.199366252970689,8470294,DJ King,90
2.176392923158173,8471709,Marc-Edouard Vlasic,137
2.133086876155268,8471233,Travis Zajac,173
2.040929495642989,8469665,Johnny Oduya,282
2.080274623712701,8473548,Phil Kessel,221
2.134671243728545,8471670,Guillaume Latendresse,143
2.0752574597306577,8470649,Patrick O'Sullivan,180
2.1338790599419064,8471685,Anze Kopitar,150
2.0290467388434115,8470839,Shane O'Brien,246
2.1101135463427516,8471634,Ryan Shannon,149
2.498811724320042,8469714,Mikko Lehtonen,22
2.1465540005281225,8473404,Niklas Backstrom,157
2.0786902561394243,8471392,Roman Polak,198
2.4800633747029313,8471684,Luc Bourdon,35
2.0784261948772116,8471735,Keith Yandle,219
2.554792711909163,8470267,Alexei Kaigorodov,21
2.128861895959863,8470063,Adam Burish,154
2.1956693952997095,8471263,Enver Lisin,90
2.3290203327171906,8470090,Fredrik Norrena,60
2.5439662001584367,8470335,Alexander Brooks,24
2.0784261948772116,8471215,Evgeni Malkin,185
2.0768418273039346,8469732,Joey MacDonald,188
2.41378399788751,8468714,Janis Sprukts,36
2.036704515447584,8470775,Nate Thompson,284
2.226564562978611,8471228,Alexander Radulov,122
2.039873250594138,8469608,Mike Smith,241
2.5711645101663585,8468497,Alexei Mikhnov,21
2.090044890414576,8471663,Mike Blunden,183
2.1035120147874307,8471245,Dave Bolland,155
2.19012410879324,8471696,Matt Lashoff,112
2.3414312120411935,8470899,Triston Grant,47
2.532875627145498,8468487,Lars Jonsson,31
2.150778980723528,8471310,Dustin Boyd,110
2.068127805650911,8471283,Brandon Prust,207
2.121732241880116,8470699,Jan Hejda,160
2.120147874306839,8471303,Alexander Edler,188
2.1454977554792714,8471226,Drew Stafford,208
2.6142064959070503,8470935,Patrick Coulombe,21
2.2986532875627144,8470843,Nathan McIver,63
2.6033799841563243,8471452,Mike Card,18
2.346976498547663,8470970,Drew Larman,52
2.5191444415104303,8471256,Michael Funk,27
