distance,id,fullName,degree,distance_rank
3.420287975094046,8474085,Johan Harju,29,5603.5
3.30094694512907,8474618,Marco Scandella,145,5007.5
3.301465819172396,8474048,Keith Aulie,127,5009.5
3.2763004280710857,8474100,Dwight King,95,4883.5
3.177714359839149,8474646,Brandon McMillan,115,4198.5
3.114152289531716,8471816,Mark Fayne,130,3673.0
3.1137631339992216,8474612,Travis Hamonic,138,3667.0
3.2604747697496435,8474027,Justin Braun,98,4789.0
3.3135296406797248,8474657,Jamie Arniel,18,5079.0
3.307822026203139,8474716,Jared Spurgeon,120,5041.5
3.4728239719808016,8474762,Stefan Della Rovere,25,5779.5
3.1822545077182514,8473970,Rob Klinkhammer,164,4237.0
3.0919704241795305,8474000,Steven Kampfer,142,3505.0
3.258788429108834,8474059,Linus Omark,78,4783.5
3.121157089116617,8473614,Richard Bachman,121,3727.0
3.362174082241536,8473456,Rhett Rakhshani,33,5332.5
3.198858477104683,8471490,Adam Cracknell,195,4377.0
3.1912050849656244,8474668,Dale Weise,198,4314.0
3.3288364249578413,8475619,Aaron Volpatti,77,5163.0
3.453885069399403,8474855,Nathan Lawson,50,5714.5
3.4963030224413023,8473532,Mark Dekanich,19,5857.5
3.097807757166948,8473503,James Reimer,163,3552.5
3.18990789985731,8475692,Mats Zuccarello,123,4303.0
3.1919833960306137,8473569,Jan Mursak,42,4319.5
3.3463484239200936,8474616,Patrice Cormier,66,5253.5
3.2123492022311586,8474535,Chris Mueller,100,4479.0
3.1906862109222986,8473507,Jeff Petry,160,4310.5
3.2523025035672593,8474850,Brandon Mashinter,93,4743.0
3.246594889090673,8474050,Brett MacLean,47,4715.0
3.396679206122714,8473638,Cedrick Desjardins,40,5497.5
3.1207679335841223,8475193,Tomas Tatar,107,3723.0
3.2647554806070826,8474024,Jim O'Brien,92,4814.0
3.239979245038267,8471956,Andrew Desjardins,126,4676.0
3.3097678038656118,8474690,Kevin Poulin,62,5059.5
3.1864055000648595,8474151,Ryan McDonagh,140,4268.0
3.2612530808146323,8474685,Matt Calvert,117,4793.5
3.1040342456868597,8474749,Matt Bartkowski,129,3590.5
3.5410559086781683,8474592,Philip McRae,30,6025.5
3.5132961473602284,8475950,Marcel Mueller,20,5917.0
3.30873005577896,8475690,Christopher Tanev,120,5050.0
3.18990789985731,8473589,Chris Summers,85,4303.0
3.3082111817356337,8475372,Andreas Engqvist,36,5044.5
3.1950966402905694,8473558,Cory Emmerton,51,4345.0
3.5214684135426126,8471728,Brodie Dupont,18,5947.5
3.2056038396679205,8474593,Jacob Markstrom,142,4427.0
3.1775846413283175,8474038,Paul Byron,174,4196.5
3.283175509145155,8471474,Travis Morin,50,4918.5
3.480607082630691,8473931,Lee Sweatt,20,5803.0
3.2977039823582825,8475304,Scott Timmins,54,4990.5
3.2445193929173692,8471862,Colin Greening,115,4703.0
3.2892722791542353,8474570,Cody Hodgson,130,4947.0
3.263588014009599,8471774,Alex Stalock,97,4807.0
3.1137631339992216,8474098,Colton Sceviour,119,3667.0
3.182384226229083,8475186,John Moore,186,4238.0
3.228174860552601,8474642,Lance Bouma,137,4601.0
3.681800492930341,8475156,Mikko Koskinen,23,6432.0
3.113892852510053,8475266,Tomas Vincour,91,3669.5
3.198469321572188,8471856,Joe Vitale,113,4371.5
3.236866000778311,8474611,Cameron Gaunce,84,4655.0
3.398365546763523,8475641,Brendon Nash,19,5507.5
3.252821377610585,8473588,Erik Condra,111,4745.0
3.4227526267998445,8474601,Yann Sauve,38,5609.0
3.2306395122583993,8470378,Andre Benoit,135,4616.5
3.3702166299130885,8474194,Timo Pielmeier,19,5377.0
3.2251913348034766,8473565,Brian Strait,118,4574.0
3.2961473602283045,8474164,Jonathon Blum,88,4984.0
3.656116227785705,8474063,Mark Katic,28,6369.0
3.511090932676093,8471368,Roman Wick,26,5906.5
3.3790374886496304,8473608,Blake Geoffrion,59,5416.5
3.1686340640809445,8475640,Erik Gustafsson,63,4129.5
3.4128940199766507,8470605,Hugh Jessiman,23,5575.0
3.6876378259177587,8474731,Justin DiBenedetto,22,6450.5
3.207030743287067,8475603,Ben Holmstrom,37,4438.0
3.3351926319885847,8474074,Paul Postma,108,5197.0
3.2233752756518355,8474030,Aaron Palushaj,93,4566.0
3.3039304708781945,8474719,Teemu Hartikainen,49,5021.0
3.2441302373848746,8471762,Chris VandeVelde,98,4701.0
3.3220910623946036,8474605,Patrick Wiercioch,100,5129.5
3.221948372032689,8475323,Marcus Kruger,115,4551.5
3.3218316253729405,8474587,Greg Nemisz,35,5127.0
3.2700739395511738,8474591,Tom McCollum,33,4849.5
3.393047087819432,8474693,Tomas Kubalik,36,5483.0
3.4173044493449214,8476205,Stephane Da Costa,52,5590.0
3.3982358282526914,8474077,Carson McMillan,49,5504.5
3.5492281748605525,8471848,Andrey Zubarev,20,6062.5
3.6956803735893113,8476208,Matt Campanale,18,6471.5
3.7500324296277077,8475990,Jamie Doornbosch,18,6586.0
3.537294071864055,8470787,Drew Bagnall,18,6007.5
3.3277986768711894,8474192,Matt Frattin,105,5159.0
3.3300038915553247,8474577,Joe Colborne,143,5173.0
3.6956803735893113,8473611,Shane Sims,18,6471.5
3.1081852380334674,8474641,Adam Henrique,151,3619.0
3.440783499805422,8475159,Carl Klingberg,47,5665.0
3.1055908678168374,8474736,Zac Rinaldo,129,3602.0
3.1272538591256973,8476461,Sean Couturier,99,3789.0
3.1362044363730703,8476177,Matt Read,93,3874.5
3.2312881048125566,8476244,Raphael Diaz,129,4619.5
3.303152159813205,8474581,Jake Gardiner,127,5017.0
3.283694383188481,8475148,Tim Erixon,123,4920.5
3.373459592683876,8474139,Maxime Macenauer,30,5395.5
3.196782980931379,8475758,Devante Smith-Pelly,183,4357.5
3.2694253469970165,8475792,Brett Connolly,142,4845.0
3.332079387728629,8475753,Justin Faulk,106,5180.5
3.3424568685951486,8476459,Mika Zibanejad,119,5231.5
3.2956284861849787,8475225,Craig Smith,108,4979.0
3.3148268257880398,8474715,Cam Atkinson,106,5086.0
3.293293552990012,8475793,Ryan Johansen,138,4969.5
3.331560513685303,8475233,David Savard,110,5177.5
3.2469840446231677,8476438,Brandon Saad,132,4718.5
3.129329355299001,8476457,Adam Larsson,130,3806.0
3.4546633804643925,8475757,Brett Bulmer,47,5719.5
3.1084446750551304,8475790,Erik Gudbranson,132,3622.0
3.285510442340122,8476455,Gabriel Landeskog,110,4929.0
3.248800103774809,8475264,Roman Horak,84,4728.5
3.2311583863017255,8471296,Alexei Emelin,131,4618.0
3.4062783759242445,8476460,Mark Scheifele,80,5556.0
3.2539888442080684,8476454,Ryan Nugent-Hopkins,116,4755.5
3.2558049033597096,8475165,Anton Lander,102,4772.0
3.166947723440135,8475182,David Rundblad,115,4114.5
3.320664158775457,8475218,Mattias Ekholm,95,5119.5
